Date,Delhi,Mumbai,Chennai,Kolkata
NA,60.31,64.08,63.55,62.97
NA,60.12,63.87,63.35,62.78
NA,59.94,63.67,63.15,62.6
NA,59.89,63.59,63.1,62.55
NA,59.82,63.51,63.03,62.48
NA,59.76,63.43,62.96,62.42
NA,59.7,63.35,62.9,62.36
NA,59.64,63.27,62.83,62.3
NA,59.59,63.19,62.78,62.25
NA,59.56,63.1,62.75,62.22
NA,59.47,62.97,62.65,62.13
NA,59.38,62.85,62.55,62.04
NA,59.31,62.75,62.48,61.97
NA,59.2,62.62,62.36,61.86
NA,59.11,62.51,62.27,61.77
NA,59.02,62.39,62.17,61.68
NA,58.91,62.28,62.05,61.57
NA,58.85,62.16,61.99,61.51
NA,58.75,62.03,61.88,61.41
NA,58.65,61.87,61.77,61.31
NA,58.55,61.75,61.67,61.21
NA,58.48,61.67,61.59,61.14
NA,58.44,61.55,61.55,61.1
NA,58.38,61.43,61.48,61.04
NA,58.33,61.31,61.43,60.99
NA,58.32,61.28,61.42,60.98
NA,58.34,61.26,61.44,61
NA,58.37,61.24,61.47,61.03
NA,58.37,61.21,61.47,61.03
NA,58.41,61.21,61.52,61.07
NA,58.44,61.22,61.55,61.1
NA,58.45,61.2,61.56,61.11
NA,58.43,61.17,61.54,61.09
NA,58.44,61.15,61.55,61.1
NA,58.42,61.12,61.53,61.08
NA,58.42,61.1,61.53,61.08
NA,58.4,61.07,61.51,61.06
NA,58.39,61.05,61.5,61.05
NA,58.37,61.03,61.47,61.03
NA,58.34,60.99,61.44,61
NA,58.34,60.97,61.44,61
NA,58.33,60.96,61.43,60.99
NA,58.3,60.93,61.4,60.96
NA,58.31,60.94,61.41,60.97
NA,58.32,60.95,61.42,60.98
NA,58.26,60.89,61.36,60.92
